dataset,scenario,lecturers,mode,seed,courses,positions,slotsRequested,candidateEdges,candidatesPerPosition,students,demandRatio,constraintsPerLecturer,msMean,msMin,msMax,msSd,repeats,msSetup,msGreedy,msRepair,msImprove,msIndividual,msReport,usPerSlot,slotsPerSecond,opsCanTake,opsFeasibleScan,opsFeasibleCandidates,opsGreedySortComparisons,opsLoadAdd,opsLoadRemove,opsDeficitEvaluations,opsDeficitLecturerScans,repairPasses,repairProbes,repairMoves,improvePasses,improveProbes,improveMoves,canTakePerSlot,slotsFilled,fillRate,totalDesirability,desirabilityBound,optimalityGap,meanDesirability,boundSlots,structuralErrors,ceilingViolations,ceilingViolationsBySearch,ceilingViolationsByIndividual,ceilingViolationsPreExisting,ceilingOverrunHours,floorViolations,floorShortfall,lecturersBelowFloor,hoursMean,hoursSd,hoursCv,hoursMin,hoursMax,hoursGini,coursesMean,coursesMax,utilisationMean,lecturersWithNoWork,studentsPlaced,studentsTotal,studentPlacementRate,issuesTotal,issuesUnfilled,issuesUnmetMinimum,issuesNoCandidates,issuesNoStudents,issuesOverCeiling,msArithmeticMean,planFingerprint
oversubscribed-20,oversubscribed,20,all,2446196487,84,518,539,1977,3.82,416,1.35,8.5,3.133,3.133,4.004,0.308,5,0.432,1.374,0.271,0.914,0.24,0.041,5.812,172058,29562,26012,1880,,2285,1901,72,20,12,564,0,1018,482,0,54.85,384,0.7124,31130,46458,0.3299,81.07,539,0,0,0,0,0,0,17,28,12,571.2,62.1,0.109,396,600,0.042,9.75,12,0.996,0,416,416,1,172,155,17,0,0,0,3.414,f4ad1b3e
sparse-candidates-20,sparse-candidates,20,all,891095012,35,249,262,395,1.59,445,0.82,5.15,0.536,0.536,0.602,0.026,5,0.115,0.159,0.017,0.057,0.147,0.054,2.048,488389,4018,3560,366,,311,105,32,20,8,34,0,243,38,0,15.34,206,0.7863,15693,20507,0.2347,76.18,262,0,0,0,0,0,0,11,43,10,400.6,203.95,0.509,0,600,0.277,2.65,7,0.765,1,445,445,1,68,56,11,0,0,1,0.563,52087dab
tight-ceilings-20,tight-ceilings,20,all,3826301284,48,295,304,1121,3.8,418,0.98,7.55,1.356,1.356,1.953,0.224,5,0.22,0.465,0.004,0.468,0.195,0.056,4.461,224154,11012,9248,1045,,1155,876,46,20,0,0,0,529,328,1,36.22,279,0.9178,22765,26659,0.1461,81.59,304,0,0,0,0,0,0,0,0,0,542.9,97.56,0.18,246,600,0.079,6.3,10,0.998,0,418,418,1,25,25,0,0,0,0,1.534,061a25b4
tight-floors-20,tight-floors,20,all,3158893009,37,279,287,1089,3.9,357,0.81,7,2.026,2.026,2.85,0.296,5,0.202,0.412,0.721,0.613,0.147,0.095,7.058,141690,11648,9267,1018,,2540,2253,3374,20,46,997,27,615,167,7,40.59,287,1,24594,25103,0.0203,85.69,287,0,0,0,0,0,0,22,28,13,485.5,77.42,0.159,372,600,0.091,6.25,10,0.841,0,357,357,1,22,0,22,0,0,0,2.322,89885dfa
unconstrained-20,unconstrained,20,all,3466952928,52,312,327,1215,3.89,244,0.82,0,1.561,1.561,2.121,0.203,5,0.7,0.626,0.004,0.191,0.057,0.123,4.774,209481,12464,11199,1166,,435,108,40,20,0,0,0,663,62,2,38.12,327,1,28168,28282,0.004,86.14,327,0,0,0,0,0,0,0,0,0,489.4,96.4,0.197,286,600,0.11,8.35,12,0.816,0,244,244,1,0,0,0,0,0,0,1.767,42092362
baseline-40,baseline,40,all,2953413586,83,542,566,2070,3.82,645,0.81,5.03,3.469,3.469,4.447,0.351,5,1.175,1.262,0.137,0.733,0.166,0.152,6.129,163159,20819,17939,1968,,1612,1046,244,40,8,243,2,1364,453,5,36.78,566,1,48288,49529,0.0251,85.31,566,0,0,0,0,0,0,7,7,6,486.45,112.23,0.231,202,600,0.126,6.58,10,0.905,0,645,645,1,7,0,7,0,0,0,3.757,408e1c90
dense-candidates-40,dense-candidates,40,all,2756622191,90,563,597,5118,9.09,638,0.81,4.9,7.785,7.785,10.068,0.841,5,1.547,2.485,1.972,1.683,0.312,0.061,13.04,76686,49650,40710,4824,,6367,5770,5764,40,47,2872,26,1850,743,51,83.17,597,1,55097,55974,0.0157,92.29,597,0,0,0,0,0,0,17,26,17,484.05,128.71,0.266,126,600,0.141,10,15,0.857,0,638,638,1,17,0,17,0,0,0,8.415,923131fa
gaps-mode-40,gaps-mode,40,gaps,4028618816,113,638,325,2365,3.71,491,0.8,4.3,1.457,1.457,2.502,0.381,5,0.577,0.441,0.148,0.281,0.153,0.054,4.483,223042,6842,5481,1122,,1017,361,472,40,12,139,4,802,64,1,21.05,325,1,27893,28392,0.0176,85.82,325,0,10,0,10,0,96,8,8,7,482.65,117.12,0.243,212,618,0.136,8.28,13,0.847,0,491,491,1,8,0,8,0,0,0,1.833,a9dfa972
oversubscribed-40,oversubscribed,40,all,1209410881,151,934,979,3485,3.73,987,1.36,8.07,6.16,6.16,6.414,0.092,5,0.751,2.75,0.508,1.924,0.356,0.067,6.292,158926,48990,42761,3318,,3957,3235,116,40,25,1027,1,1647,1113,3,50.04,722,0.7375,56758,85198,0.3338,78.61,979,0,0,0,0,0,0,33,61,23,581.6,72.35,0.124,158,600,0.029,8.28,13,0.999,0,987,987,1,290,257,33,0,0,0,6.324,33cc09ea
sparse-candidates-40,sparse-candidates,40,all,2919441314,89,550,566,910,1.65,780,0.8,4.63,1.027,1.027,1.515,0.184,5,0.247,0.386,0.039,0.208,0.129,0.042,1.815,550963,8427,7355,854,,809,280,146,40,12,61,0,632,102,0,14.89,529,0.9346,40010,43677,0.084,75.63,566,0,0,0,0,0,0,15,15,12,451.35,136.88,0.303,38,600,0.161,3.78,8,0.862,0,780,780,1,53,37,15,0,0,1,1.155,af5c6582
tight-ceilings-40,tight-ceilings,40,all,1559680290,101,669,690,2620,3.92,639,0.92,7.83,4.947,4.947,5.182,0.087,5,0.56,1.64,0.008,2.637,0.192,0.053,7.169,139483,30456,25164,2479,,4239,3573,166,40,0,0,0,2169,1521,31,44.14,666,0.9652,53560,59418,0.0986,80.42,690,0,0,0,0,0,0,0,0,0,534.2,96.06,0.18,258,600,0.087,7.23,11,0.988,0,639,639,1,24,24,0,0,0,0,5.086,90f4c3f7
tight-floors-40,tight-floors,40,all,100711319,104,632,662,2283,3.61,336,0.8,6.93,4.759,4.759,5.287,0.193,5,0.483,1.273,2.064,1.082,0.096,0.079,7.189,139098,29426,23949,2203,,5465,4804,5848,40,106,2421,58,1526,546,20,44.45,661,0.9985,55504,57341,0.032,83.97,662,0,0,0,0,0,0,59,104,26,481.8,132.84,0.276,114,600,0.146,8.23,13,0.854,0,336,336,1,60,1,59,0,0,0,5.009,04de6062
unconstrained-40,unconstrained,40,all,902953350,108,652,682,2526,3.87,327,0.81,0,2.651,2.651,3.118,0.169,5,0.497,1.31,0.007,0.826,0.082,0.048,3.888,257213,29250,26219,2449,,1345,663,128,40,0,0,0,1761,419,14,42.89,682,1,58487,59432,0.0159,85.76,682,0,0,0,0,0,0,0,0,0,483.4,129.29,0.267,134,600,0.141,8.48,17,0.806,0,327,327,1,0,0,0,0,0,0,2.856,2e9efdb3
baseline-80,baseline,80,all,3095229918,184,1198,1267,4520,3.77,909,0.81,5.09,6.543,6.543,7.483,0.315,5,0.986,2.839,0.7,1.606,0.583,0.094,5.164,193642,50045,43586,4348,,3977,2717,2130,80,36,980,14,2773,828,31,39.5,1260,0.9945,106086,109457,0.0308,84.2,1267,0,0,0,0,0,0,22,23,21,479.9,132.11,0.275,142,600,0.148,7.36,13,0.893,0,909,909,1,29,7,22,0,0,0,6.934,ee89895e
dense-candidates-80,dense-candidates,80,all,2656382563,187,1109,1155,10257,9.25,1522,0.8,4.93,17.265,17.265,18.366,0.435,5,2.12,5.346,4.699,4.438,0.678,0.114,14.948,66898,97797,79271,9685,,13695,12540,13308,80,108,5699,69,4058,2121,69,84.67,1155,1,105575,107780,0.0205,91.41,1155,0,0,0,0,0,0,24,36,23,480.1,108.01,0.225,160,600,0.125,9.68,15,0.858,0,1522,1522,1,24,0,24,0,0,0,17.663,833a1a01
gaps-mode-80,gaps-mode,80,gaps,2235180236,171,1101,549,4250,3.86,1043,0.8,4.54,3.018,3.018,3.765,0.3,5,0.934,0.786,0.437,0.609,0.704,0.092,5.498,181893,10867,8224,1910,,2159,1002,1134,80,33,464,11,1469,238,7,19.79,545,0.9927,45680,47531,0.0389,83.82,549,0,17,0,17,0,627,23,25,21,480.38,129.67,0.27,216,700,0.154,6.98,14,0.87,0,1043,1043,1,27,4,23,0,0,0,3.431,e8d64ad6
oversubscribed-80,oversubscribed,80,all,1351227213,300,1939,2028,7188,3.71,1940,1.35,8.36,12.693,12.693,13.467,0.331,5,1.511,7.02,1.251,2.253,0.702,0.143,6.259,159771,104469,92755,6832,,6718,5234,204,80,52,2408,4,2699,1613,1,51.51,1484,0.7318,117864,176785,0.3333,79.42,2028,0,0,0,0,0,0,79,163,48,575.2,69.74,0.121,244,600,0.039,8.44,14,0.998,0,1940,1940,1,623,544,79,0,0,0,13.027,3c6e4246
sparse-candidates-80,sparse-candidates,80,all,3061257646,190,1204,1268,1932,1.6,963,0.8,4.81,2.327,2.327,2.964,0.23,5,0.52,1.1,0.12,0.491,0.185,0.09,1.835,544859,20876,18465,1851,,1887,714,348,80,28,199,1,1363,221,0,16.46,1173,0.9251,90083,99796,0.0973,76.8,1268,0,0,0,0,0,0,31,31,27,442.9,151.55,0.342,84,600,0.189,4,9,0.86,0,963,963,1,126,95,31,0,0,0,2.594,d514f22c
tight-ceilings-80,tight-ceilings,80,all,1701496622,233,1422,1488,5605,3.94,980,0.92,7.4,8.474,8.474,8.968,0.166,5,1.634,4.03,0.004,2.612,0.333,0.112,5.695,175603,68944,61030,5376,,4472,3030,166,80,0,0,0,2648,1522,4,46.33,1442,0.9691,117658,128537,0.0846,81.59,1488,0,0,0,0,0,0,0,0,0,531.48,90.84,0.171,264,600,0.086,8.06,13,0.99,0,980,980,1,46,46,0,0,0,0,8.716,312e1617
tight-floors-80,tight-floors,80,all,2969343259,184,1093,1145,3978,3.64,1275,0.8,6.73,9.239,9.239,10.16,0.327,5,1.781,2.55,3.55,1.512,0.464,0.109,8.069,123925,44103,35020,3806,,9307,8162,11428,80,201,4168,106,2169,651,32,38.52,1145,1,97172,99662,0.025,84.87,1145,0,0,0,0,0,0,95,310,58,480.6,110.07,0.229,202,600,0.128,6.94,13,0.841,0,1275,1275,1,95,0,95,0,0,0,9.796,80fdd48b
unconstrained-80,unconstrained,80,all,1666751754,201,1232,1297,4696,3.81,882,0.8,0,4.685,4.685,5.48,0.367,5,1.646,2.673,0.006,0.726,0.261,0.094,3.612,276853,49784,45043,4449,,1619,322,126,80,0,0,0,2132,222,6,38.38,1297,1,112029,112792,0.0068,86.38,1297,0,0,0,0,0,0,0,0,0,480.83,120.35,0.25,176,600,0.136,8.03,13,0.801,0,882,882,1,0,0,0,0,0,0,5.146,0f58adb0
baseline-160,baseline,160,all,3528126107,316,2100,2186,8171,3.89,2963,0.81,5.08,12.443,12.443,16.517,1.425,5,2.081,4.886,1.511,4.011,0.807,0.232,5.692,175675,80141,68511,7681,,7106,4921,3436,160,68,2084,16,4416,1374,33,36.66,2185,0.9995,183165,188494,0.0283,83.83,2186,0,0,0,0,0,0,49,51,44,483.6,123.29,0.255,154,600,0.138,6.35,11,0.912,0,2963,2963,1,50,1,49,0,0,0,13.862,3b7058d0
dense-candidates-160,dense-candidates,160,all,47576712,385,2438,2542,22234,9.12,1931,0.8,5.03,40.945,40.945,57.476,6.356,5,5.124,14.023,11.305,9.493,1.585,0.26,16.107,62084,229810,187946,21357,,30643,28101,28948,160,286,15005,193,7307,4102,219,90.41,2542,1,231527,237300,0.0243,91.08,2542,0,0,0,0,0,0,65,124,55,481.76,112.25,0.233,136,600,0.128,10.25,17,0.858,0,1931,1931,1,65,0,65,0,0,0,44.783,415a4a40
gaps-mode-160,gaps-mode,160,gaps,205047665,404,2507,1329,9121,3.64,2085,0.8,5,8.501,8.501,8.971,0.161,5,2.965,2.332,0.939,1.661,0.573,0.216,6.396,156344,29676,23438,4579,,4778,2179,2172,160,55,965,14,3898,604,11,22.33,1325,0.997,112475,115804,0.0287,84.89,1329,0,44,0,44,0,1037,49,49,40,480.05,138.06,0.288,26,680,0.16,7.79,13,0.898,0,2085,2085,1,53,4,49,0,0,0,8.719,dee80b55
oversubscribed-160,oversubscribed,160,all,4071223682,626,3909,4070,14882,3.81,3696,1.35,8.12,27.91,27.91,28.659,0.289,5,3.674,14.589,2.346,6.098,1.272,0.28,6.857,145828,210686,186425,14121,,13786,10819,356,160,93,4347,1,6325,3930,0,51.77,2967,0.729,234164,352091,0.3349,78.92,4070,0,0,0,0,0,0,133,286,92,576.83,59.29,0.103,276,600,0.035,8.79,15,0.999,0,3696,3696,1,1236,1103,133,0,0,0,28.289,2d3e072b
sparse-candidates-160,sparse-candidates,160,all,3686432427,359,2293,2385,3728,1.63,2329,0.8,4.83,5.446,5.446,6.113,0.237,5,1.093,2.266,0.234,0.786,1.066,0.153,2.284,437906,39415,34881,3542,,3318,1202,538,160,58,342,2,2441,424,1,16.53,2116,0.8872,161102,187023,0.1386,76.14,2385,0,0,0,0,0,0,66,89,56,426.49,159.85,0.375,36,600,0.21,3.63,8,0.841,0,2329,2329,1,336,269,66,0,0,1,5.658,58cefe02
tight-ceilings-160,tight-ceilings,160,all,3311069995,445,2730,2829,10451,3.83,2505,0.93,7.78,18.507,18.507,19.097,0.213,5,3.019,8.098,0.008,6.569,0.761,0.235,6.542,152862,123865,108144,9927,,9353,6724,316,160,0,0,0,5405,3796,14,43.78,2629,0.9293,211706,245397,0.1373,80.53,2829,0,0,0,0,0,0,0,0,0,513.79,111.35,0.217,138,600,0.111,7.47,15,0.992,0,2505,2505,1,200,200,0,0,0,0,18.759,a23cde72
tight-floors-160,tight-floors,160,all,1615892384,377,2449,2575,9076,3.71,1927,0.8,6.75,20.165,20.165,21.094,0.341,5,2.693,6.103,8.062,3.106,0.528,0.196,7.831,127695,110851,91445,8710,,18711,16136,21662,160,362,8673,177,4809,1367,60,43.05,2575,1,218987,224265,0.0235,85.04,2575,0,0,0,0,0,0,220,1003,120,480.14,119.69,0.249,114,600,0.136,7.77,14,0.84,0,1927,1927,1,220,0,220,0,0,0,20.578,d534d5b6
unconstrained-160,unconstrained,160,all,3411834695,367,2370,2477,9117,3.85,2132,0.8,0,10.426,10.426,11.185,0.281,5,2.618,5.375,0.008,1.73,0.58,0.183,4.209,237584,93936,84451,8677,,3341,864,284,160,0,0,0,4560,658,22,37.92,2477,1,211647,214125,0.0116,85.44,2477,0,0,0,0,0,0,0,0,0,480.73,127.08,0.264,10,600,0.142,7.5,14,0.801,0,2132,2132,1,0,0,0,0,0,0,10.655,1743781e
baseline-320,baseline,320,all,2923022885,712,4642,4848,17408,3.75,4380,0.8,5.06,27.086,27.086,43.896,6.231,5,5.62,13.043,3.069,5.857,1.314,0.478,5.587,178988,184911,162412,16615,,12058,7213,5086,320,93,2893,37,10382,2455,77,38.14,4845,0.9994,414669,423395,0.0206,85.59,4848,0,0,0,0,0,0,62,65,54,479.93,128.58,0.268,108,600,0.144,7.14,14,0.889,0,4380,4380,1,65,3,62,0,0,0,31.658,e100ed0a
dense-candidates-320,dense-candidates,320,all,3508918418,708,4421,4614,40349,9.13,4909,0.8,4.71,64.361,64.361,87.249,8.704,5,10.427,24.844,15.487,12.355,2.387,0.857,13.949,71689,371659,307412,38279,,40009,35395,36992,320,378,18880,238,12108,5896,225,80.55,4614,1,421840,431434,0.0222,91.43,4614,0,0,0,0,0,0,125,245,95,480.38,115.67,0.241,76,600,0.132,9.5,17,0.858,0,4909,4909,1,125,0,125,0,0,0,69.922,731ab5b9
gaps-mode-320,gaps-mode,320,gaps,2877469807,777,4851,2512,18569,3.83,3872,0.8,4.73,17.018,17.018,18.3,0.449,5,5.37,4.68,2.31,3.822,1.08,0.453,6.775,147611,55067,43315,8843,,9102,4031,4776,320,123,1906,42,6877,889,28,21.92,2503,0.9964,210153,216515,0.0294,83.96,2512,0,82,0,82,0,2484,80,84,73,479.5,137.82,0.287,86,732,0.162,7.71,14,0.886,0,3872,3872,1,89,9,80,0,0,0,17.72,7a266fb1
oversubscribed-320,oversubscribed,320,all,3543588864,1235,7901,8316,30215,3.82,7204,1.35,8.21,65.602,65.602,96.715,12.08,5,7.966,33.977,5.913,14.165,3.678,0.894,7.889,126765,447314,396692,28851,,29027,22891,830,320,205,9154,7,13316,9209,9,53.79,6136,0.7379,480898,717823,0.3301,78.37,8316,0,0,0,0,0,0,285,535,192,577.75,59.05,0.102,258,600,0.034,8.68,16,0.998,0,7204,7204,1,2465,2180,285,0,0,0,72.589,9aa3a07a
sparse-candidates-320,sparse-candidates,320,all,350451509,771,4881,5102,8017,1.64,4010,0.8,4.87,13.19,13.19,14.266,0.398,5,3.255,6.36,0.506,2.225,0.838,0.333,2.585,386812,89593,79929,7715,,7117,2449,1164,320,83,547,8,5399,947,2,17.56,4668,0.9149,350792,396268,0.1148,75.15,5102,0,0,0,0,0,0,90,94,75,438.15,170.24,0.389,0,600,0.211,3.87,9,0.855,2,4010,4010,1,524,434,90,0,0,0,13.577,e1589dff
tight-ceilings-320,tight-ceilings,320,all,4270056373,859,5451,5695,20980,3.85,4573,0.92,7.61,38.283,38.283,38.606,0.128,5,6.19,17.849,0.013,12.509,1.353,0.474,6.722,148761,250231,218645,20075,,18605,13262,626,320,0,0,0,10796,7792,24,43.94,5343,0.9382,429496,493175,0.1291,80.38,5695,0,0,0,0,0,0,0,0,0,513.31,111.45,0.217,174,600,0.111,7.37,14,0.99,0,4573,4573,1,352,352,0,0,0,0,38.433,f8064e09
tight-floors-320,tight-floors,320,all,1151401642,734,4759,5003,17970,3.78,4039,0.8,6.73,44.896,44.896,68.872,9.436,5,4.955,12.906,17.373,8.472,1.36,0.508,8.974,111435,213056,171810,17265,,41925,36922,51738,320,866,19521,487,10090,3194,166,42.59,5003,1,421192,432528,0.0262,84.19,5003,0,0,0,0,0,0,386,1453,218,480,120.34,0.251,72,600,0.135,7.56,15,0.841,0,4039,4039,1,386,0,386,0,0,0,50.015,e6e99e95
unconstrained-320,unconstrained,320,all,1070830825,738,4602,4770,17768,3.86,5154,0.8,0,20.778,20.778,21.947,0.42,5,5.193,10.78,0.015,3.876,1.473,0.346,4.356,229567,172847,154902,16730,,6078,1308,454,320,0,0,0,7692,1014,20,36.24,4770,1,408692,412897,0.0102,85.68,4770,0,0,0,0,0,0,0,0,0,480.27,122.67,0.255,42,600,0.139,7.29,14,0.8,0,5154,5154,1,0,0,0,0,0,0,21.514,203bf445
