scenario,points,alpha_time_vs_lecturers,r2_time_vs_lecturers,alpha_time_vs_slots,r2_time_vs_slots,alpha_greedy_vs_slots,alpha_repair_vs_slots,alpha_improve_vs_slots,alpha_cantake_vs_slots
baseline,6,1.009,0.9815,0.959,0.9717,1.042,0.981,0.854,1.056
dense-candidates,6,1.023,0.98,1.05,0.9844,1.126,0.97,0.957,1.016
gaps-mode,6,1.034,0.9443,0.954,0.9471,1.173,1.099,1.195,1.115
oversubscribed,6,1.144,0.9922,1.142,0.9935,0.892,1.221,1.068,1.023
sparse-candidates,6,1.133,0.9896,1.018,0.9779,1.15,0.987,1.299,1.058
tight-ceilings,6,1.059,0.9652,1.061,0.981,1.212,0.469,0.991,1.013
tight-floors,6,1.086,0.9802,1.1,0.9898,1.166,1.125,1.042,0.996
unconstrained,6,1.113,0.9952,1.128,0.9943,1.251,0.468,1.166,1.028
