dataset,scenario,lecturers,slots,msBefore,msMedianBefore,msMaxBefore,msIqrBefore,repeatsBefore,msAfter,msMedianAfter,msMaxAfter,msIqrAfter,repeatsAfter,speedup,speedupMedian,filledBefore,filledAfter,requestedSlots,overrunHoursBefore,overrunHoursAfter,ceilingBreachesBefore,ceilingBreachesAfter,floorViolationsBefore,floorViolationsAfter
gaps-mode-160,gaps-mode,160,2603,13808.141,14167.501,14393.699,249.510,5,53.496,57.318,62.548,5.636,5,258.117,247.173,1326,1324,1329,3458.0,96.0,58,2,45,55
oversubscribed-160,oversubscribed,160,4070,44430.525,44980.756,45530.986,550.230,2,128.540,133.099,136.987,2.898,5,345.656,337.949,3516,2967,4070,24463.0,0.0,156,0,91,133
sparse-candidates-160,sparse-candidates,160,2385,7816.179,7856.183,7942.460,43.362,5,38.051,41.202,56.692,3.273,5,205.411,190.674,2198,2116,2385,5975.0,0.0,46,0,64,66
tight-ceilings-160,tight-ceilings,160,2829,20829.784,21275.235,21340.569,255.392,3,95.956,103.807,189.039,33.971,5,217.077,204.949,2825,2629,2829,9589.0,0.0,113,0,0,0
tight-floors-160,tight-floors,160,2575,20082.982,20159.718,20310.145,113.581,3,84.740,89.987,93.522,2.940,5,236.995,224.029,2575,2575,2575,3478.0,0.0,49,0,332,220
unconstrained-160,unconstrained,160,2477,14088.164,14214.137,14309.906,18.637,5,51.867,53.376,62.192,4.114,5,271.619,266.300,2477,2477,2477,4044.0,0.0,45,0,0,0
baseline-320,baseline,320,4848,91058.817,91058.817,91058.817,0.000,1,147.343,151.798,153.265,5.171,5,618.007,599.870,4847,4845,4848,8078.0,0.0,105,0,91,62
dense-candidates-320,dense-candidates,320,4614,152994.402,152994.402,152994.402,0.000,1,314.973,318.433,335.936,10.884,5,485.738,480.460,4614,4614,4614,11937.0,0.0,127,0,232,125
gaps-mode-320,gaps-mode,320,5080,64099.453,64099.453,64099.453,0.000,1,115.927,119.256,122.008,2.091,5,552.932,537.496,2504,2501,2512,6422.0,4.0,94,1,82,87
oversubscribed-320,oversubscribed,320,8316,235471.446,235471.446,235471.446,0.000,1,300.967,330.672,350.451,1.719,5,782.384,712.101,7040,6136,8316,46054.0,0.0,315,0,208,285
sparse-candidates-320,sparse-candidates,320,5102,53482.936,53749.390,54015.843,266.454,2,79.517,84.337,86.560,2.103,5,672.598,637.316,4768,4668,5102,9054.0,0.0,74,0,85,90
tight-ceilings-320,tight-ceilings,320,5695,104411.951,104411.951,104411.951,0.000,1,189.855,205.025,331.073,36.860,5,549.956,509.265,5691,5343,5695,18233.0,0.0,209,0,0,0
tight-floors-320,tight-floors,320,5003,84052.203,84052.203,84052.203,0.000,1,205.963,209.771,221.805,12.876,5,408.094,400.685,5003,5003,5003,7202.0,0.0,103,0,645,386
unconstrained-320,unconstrained,320,4770,58104.176,58196.436,58288.695,92.259,2,127.414,129.100,152.168,2.327,5,456.027,450.785,4770,4770,4770,8266.0,0.0,86,0,0,0
